รายงานสรุปผลการประเมินความพึงพอใจฐานกิจกรรมอบรม
วันที่ออกรายงาน,16/9/2569 09:51:27
ยอดผู้เข้าร่วมกดคะแนนทั้งหมด,113 คน

อันดับ,รหัสฐาน,ชื่อฐานกิจกรรม,ชื่อแผนก,จำนวนคะแนนที่ได้ (ไลค์),ร้อยละ (%)
"1","ฐาน C","การใช้งานตะกร้า","PUR+PN+WH+DL+ST","28","24.78%"
"2","ฐาน E","กฎระเบียบในการทำงาน","HR","26","23.01%"
"3","ฐาน A","อันตรายทางด้านอาหาร","PD + QA Process","22","19.47%"
"4","ฐาน F","สุขลักษณะส่วนบุคคล","QA Sanitation","17","15.04%"
"5","ฐาน B","ความปลอดภัยในการทำงาน","Safety+EN","10","8.85%"
"6","ฐาน D","มาตรฐานสินค้า","RD","10","8.85%"


ประวัติการบันทึกคะแนนทั้งหมด (Audit Log)
ลำดับ,ฐานกิจกรรมที่ได้รับไลค์,วันและเวลาที่บันทึก
"56","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:47:05"
"57","ฐาน B: ความปลอดภัยในการทำงาน (Safety+EN)","16/9/2569 09:47:01"
"58","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:46:57"
"59","ฐาน C: การใช้งานตะกร้า (PUR+PN+WH+DL+ST)","16/9/2569 09:46:53"
"60","ฐาน A: อันตรายทางด้านอาหาร (PD + QA Process)","16/9/2569 09:46:41"
"61","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:46:37"
"62","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:46:33"
"63","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:46:27"
"64","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:46:23"
"65","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:46:18"
"66","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:46:15"
"67","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:46:11"
"68","ฐาน E: กฎระเบียบในการทำงาน (HR)","16/9/2569 09:46:07"
"69","ฐาน F: สุขลักษณะส่วนบุคคล (QA Sanitation)","16/9/2569 09:46:01"
